Frame,Dev_mm_raw,Dev_mm_smooth
972,-11.181,-11.167
973,-11.132,-11.167
974,-11.132,-11.167
975,-11.181,-11.167
976,-11.181,-11.167
977,-11.181,-11.174
978,-11.181,-11.181
979,-11.181,-11.181
980,-11.181,-11.181
981,-11.181,-11.181
982,-11.181,-11.181
983,-11.181,-11.181
984,-11.181,-11.181
985,-11.181,-11.181
986,-11.181,-11.181
987,-11.181,-11.181
988,-11.181,-11.181
989,-11.181,-11.181
990,-11.181,-11.181
991,-11.181,-11.181
992,-11.181,-11.181
993,-11.181,-11.181
994,-11.181,-11.181
995,-11.181,-11.181
996,-11.181,-11.181
997,-11.181,-11.181
998,-11.181,-11.181
999,-11.181,-11.181
1000,-11.181,-11.181
1001,-11.181,-11.181
1002,-11.181,-11.181
1003,-11.181,-11.181
1004,-11.181,-11.181
1005,-11.181,-11.181
1006,-11.181,-11.181
1007,-11.181,-11.160
1008,-11.181,-10.999
1009,-11.181,-10.614
1010,-11.034,-10.004
1011,-10.053,-9.283
1012,-8.484,-8.554
1013,-6.915,-7.825
1014,-6.130,-7.118
1015,-6.081,-6.550
1016,-6.081,-6.207
1017,-6.081,-6.088
1018,-6.081,-6.081
1019,-6.081,-6.074
1020,-6.081,-6.074
1021,-6.081,-6.074
1022,-6.032,-6.074
1023,-6.081,-6.067
1024,-6.081,-5.990
1025,-6.081,-5.913
1026,-6.032,-5.843
1027,-5.542,-5.766
1028,-5.542,-5.689
1029,-5.542,-5.612
1030,-5.542,-5.542
1031,-5.542,-5.542
1032,-5.542,-5.542
1033,-5.542,-5.542
1034,-5.542,-5.542
1035,-5.542,-5.542
1036,-5.542,-5.542
1037,-5.542,-5.542
1038,-5.542,-5.542
1039,-5.542,-5.542
1040,-5.542,-5.542
1041,-5.542,-5.542
1042,-5.542,-5.542
1043,-5.542,-5.542
1044,-5.542,-5.542
1045,-5.542,-5.549
1046,-5.542,-5.549
1047,-5.542,-5.549
1048,-5.591,-5.549
1049,-5.542,-5.549
1050,-5.542,-5.549
1051,-5.542,-5.549
1052,-5.542,-5.549
1053,-5.542,-5.549
1054,-5.542,-5.556
1055,-5.591,-5.563
1056,-5.542,-5.570
1057,-5.591,-5.577
1058,-5.591,-5.577
1059,-5.591,-5.570
1060,-5.591,-5.570
1061,-5.542,-5.563
1062,-5.542,-5.556
1063,-5.542,-5.549
1064,-5.542,-5.542
1065,-5.542,-5.542
1066,-5.542,-5.542
1067,-5.542,-5.542
1068,-5.542,-5.549
1069,-5.542,-5.549
1070,-5.542,-5.549
1071,-5.591,-5.549
1072,-5.542,-5.549
1073,-5.542,-5.549
1074,-5.542,-5.549
1075,-5.542,-5.542
1076,-5.542,-5.542
1077,-5.542,-5.542
1078,-5.542,-5.542
1079,-5.542,-5.549
1080,-5.542,-5.549
1081,-5.542,-5.549
1082,-5.591,-5.549
1083,-5.542,-5.549
1084,-5.542,-5.549
1085,-5.542,-5.549
1086,-5.542,-5.542
1087,-5.542,-5.549
1088,-5.542,-5.556
1089,-5.542,-5.563
1090,-5.591,-5.570
1091,-5.591,-5.577
1092,-5.591,-5.584
1093,-5.591,-5.591
1094,-5.591,-5.591
1095,-5.591,-5.591
1096,-5.591,-5.591
1097,-5.591,-5.591
1098,-5.591,-5.591
1099,-5.591,-5.584
1100,-5.591,-5.485
1101,-5.591,-5.219
1102,-5.542,-4.701
1103,-4.904,-4.028
1104,-3.727,-3.307
1105,-1.962,-2.585
1106,-0.883,-1.871
1107,-0.539,-1.247
1108,-0.539,-0.799
1109,-0.539,-0.595
1110,-0.539,-0.546
1111,-0.588,-0.553
1112,-0.539,-0.560
1113,-0.539,-0.567
1114,-0.588,-0.567
1115,-0.588,-0.567
1116,-0.588,-0.560
1117,-0.539,-0.490
1118,-0.588,-0.413
1119,-0.490,-0.336
1120,-0.049,-0.259
1121,-0.049,-0.189
1122,-0.049,-0.112
1123,-0.049,-0.049
1124,-0.049,-0.049
1125,-0.049,-0.049
1126,-0.049,-0.049
1127,-0.049,-0.049
1128,-0.049,-0.049
1129,-0.049,-0.049
1130,-0.049,-0.049
1131,-0.049,-0.049
1132,-0.049,-0.049
1133,-0.049,-0.049
1134,-0.049,-0.049
1135,-0.049,-0.049
1136,-0.049,-0.049
1137,-0.049,-0.049
1138,-0.049,-0.049
1139,-0.049,-0.049
1140,-0.049,-0.049
1141,-0.049,-0.049
1142,-0.049,-0.049
1143,-0.049,-0.049
1144,-0.049,-0.049
1145,-0.049,-0.049
1146,-0.049,-0.049
1147,-0.049,-0.049
1148,-0.049,-0.049
1149,-0.049,-0.049
1150,-0.049,-0.049
1151,-0.049,-0.049
1152,-0.049,-0.049
1153,-0.049,-0.049
1154,-0.049,-0.049
1155,-0.049,-0.049
1156,-0.049,-0.049
1157,-0.049,-0.049
1158,-0.049,-0.049
1159,-0.049,-0.049
1160,-0.049,-0.049
1161,-0.049,-0.049
1162,-0.049,-0.042
1163,-0.049,-0.035
1164,-0.049,-0.028
1165,0.000,-0.021
1166,0.000,-0.014
1167,0.000,-0.007
1168,0.000,0.000
1169,0.000,0.000
1170,0.000,0.000
1171,0.000,0.000
1172,0.000,0.000
1173,0.000,0.000
1174,0.000,0.000
